epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.7572,0.53335,0.92917,1,0.20249,0.000468394,0.000468394,0.000468394
2,108.813,0.22402,0.93333,1,0.16123,0.000926022,0.000926022,0.000926022
3,160.476,0.18184,0.9375,1,0.14626,0.00136479,0.00136479,0.00136479
4,207.132,0.171,0.92917,1,0.18103,0.00134412,0.00134412,0.00134412
5,255.797,0.1612,0.9375,1,0.15581,0.00131582,0.00131582,0.00131582
6,305.692,0.1216,0.95,1,0.18201,0.00128753,0.00128753,0.00128753
7,360.527,0.13284,0.93333,1,0.19577,0.00125923,0.00125923,0.00125923
8,416.113,0.11788,0.95417,1,0.1899,0.00123094,0.00123094,0.00123094
9,464.932,0.11276,0.93333,1,0.27432,0.00120265,0.00120265,0.00120265
10,513.726,0.11698,0.9375,1,0.19408,0.00117435,0.00117435,0.00117435
11,566.717,0.10813,0.94167,1,0.22806,0.00114606,0.00114606,0.00114606
12,642.849,0.10826,0.92083,1,0.27229,0.00111776,0.00111776,0.00111776
13,720.202,0.08726,0.95417,1,0.16927,0.00108947,0.00108947,0.00108947
14,807.352,0.08472,0.96667,1,0.09916,0.00106118,0.00106118,0.00106118
15,890.225,0.08344,0.9375,1,0.1759,0.00103288,0.00103288,0.00103288
16,941.327,0.07432,0.95417,1,0.17372,0.00100459,0.00100459,0.00100459
17,992.58,0.05318,0.94583,1,0.17583,0.000976293,0.000976293,0.000976293
18,1042.4,0.06651,0.95417,1,0.16718,0.000947999,0.000947999,0.000947999
19,1092.68,0.08034,0.9375,1,0.22346,0.000919704,0.000919704,0.000919704
20,1151.67,0.0659,0.94167,1,0.21892,0.00089141,0.00089141,0.00089141
21,1213.62,0.071,0.95417,1,0.19049,0.000863116,0.000863116,0.000863116
22,1280.57,0.06826,0.94583,1,0.17191,0.000834822,0.000834822,0.000834822
23,1337.49,0.06431,0.9375,1,0.17391,0.000806528,0.000806528,0.000806528
24,1389.67,0.03983,0.95417,1,0.22727,0.000778233,0.000778233,0.000778233
25,1438.34,0.05666,0.95417,1,0.22078,0.000749939,0.000749939,0.000749939
26,1512.86,0.03801,0.95833,1,0.26032,0.000721645,0.000721645,0.000721645
27,1576.55,0.02723,0.95417,1,0.26084,0.000693351,0.000693351,0.000693351
28,1665.39,0.03759,0.95417,1,0.2558,0.000665057,0.000665057,0.000665057
29,1744.93,0.04475,0.95833,1,0.22621,0.000636762,0.000636762,0.000636762
30,1796.57,0.05328,0.95833,1,0.21445,0.000608468,0.000608468,0.000608468
31,1849.65,0.02684,0.95,1,0.24684,0.000580174,0.000580174,0.000580174
32,1912.56,0.04025,0.95,1,0.20065,0.00055188,0.00055188,0.00055188
33,1969.06,0.0272,0.95417,1,0.25025,0.000523586,0.000523586,0.000523586
34,2020.63,0.02975,0.95833,1,0.27426,0.000495291,0.000495291,0.000495291
35,2070.32,0.02853,0.95833,1,0.29293,0.000466997,0.000466997,0.000466997
36,2123.47,0.02358,0.9625,1,0.23429,0.000438703,0.000438703,0.000438703
37,2175.23,0.03167,0.95833,1,0.21882,0.000410409,0.000410409,0.000410409
38,2226.99,0.0463,0.95417,1,0.3131,0.000382115,0.000382115,0.000382115
39,2280.99,0.03212,0.95833,1,0.28385,0.00035382,0.00035382,0.00035382
40,2340.59,0.08772,0.95833,1,0.25444,0.000325526,0.000325526,0.000325526
41,2398.32,0.01733,0.95417,1,0.29565,0.000297232,0.000297232,0.000297232
42,2434.25,0.03025,0.95417,1,0.26022,0.000268938,0.000268938,0.000268938
43,2485.07,0.02738,0.9625,1,0.26296,0.000240644,0.000240644,0.000240644
44,2524.86,0.03085,0.9625,1,0.34879,0.000212349,0.000212349,0.000212349
45,2580.52,0.02049,0.9625,1,0.31335,0.000184055,0.000184055,0.000184055
46,2628.27,0.01727,0.9625,1,0.25743,0.000155761,0.000155761,0.000155761
47,2662.48,0.01744,0.9625,1,0.25183,0.000127467,0.000127467,0.000127467
48,2696.69,0.02618,0.9625,1,0.28971,9.91726e-05,9.91726e-05,9.91726e-05
49,2731.92,0.01631,0.9625,1,0.24656,7.08784e-05,7.08784e-05,7.08784e-05
50,2776.16,0.0121,0.9625,1,0.27966,4.25842e-05,4.25842e-05,4.25842e-05
