epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.7123,0.75846,1,1,0.28859,0.00027151,0.00027151,0.00027151
2,64.7681,0.20787,1,1,0.00821,0.000546275,0.000546275,0.000546275
3,99.1391,0.03694,1,1,0.00039,0.000809723,0.000809723,0.000809723
4,129.105,0.01445,1,1,0.00046,0.00106185,0.00106185,0.00106185
5,158.009,0.02507,1,1,0.00015,0.00130266,0.00130266,0.00130266
6,187.878,0.02383,1,1,0.00984,0.00128753,0.00128753,0.00128753
7,221.073,0.03153,1,1,0.0001,0.00125923,0.00125923,0.00125923
8,254.35,0.01798,1,1,0.00107,0.00123094,0.00123094,0.00123094
9,286.787,0.02924,1,1,0.00107,0.00120265,0.00120265,0.00120265
10,327.68,0.01813,1,1,8e-05,0.00117435,0.00117435,0.00117435
11,356.414,0.01339,1,1,0.00041,0.00114606,0.00114606,0.00114606
12,390.123,0.00664,1,1,0.00195,0.00111776,0.00111776,0.00111776
13,432.201,0.02483,1,1,0.00064,0.00108947,0.00108947,0.00108947
14,481.802,0.00655,1,1,0.00056,0.00106118,0.00106118,0.00106118
15,517.702,0.00744,1,1,0.00057,0.00103288,0.00103288,0.00103288
16,566.787,0.00531,1,1,0.00015,0.00100459,0.00100459,0.00100459
17,601.724,0.00257,1,1,0.00029,0.000976293,0.000976293,0.000976293
18,634.361,0.00516,1,1,0.00033,0.000947999,0.000947999,0.000947999
19,665.529,0.01386,1,1,0.00011,0.000919704,0.000919704,0.000919704
20,695.317,0.00144,1,1,8e-05,0.00089141,0.00089141,0.00089141
21,724.831,0.00169,1,1,6e-05,0.000863116,0.000863116,0.000863116
22,757.249,0.00189,1,1,0.00013,0.000834822,0.000834822,0.000834822
23,788.123,0.00187,1,1,8e-05,0.000806528,0.000806528,0.000806528
24,817.775,0.01555,1,1,0.00011,0.000778233,0.000778233,0.000778233
25,847.922,0.00366,1,1,0.00093,0.000749939,0.000749939,0.000749939
26,877.558,0.00378,1,1,0.00018,0.000721645,0.000721645,0.000721645
27,907.745,0.00388,1,1,0.00017,0.000693351,0.000693351,0.000693351
28,936.667,0.00346,1,1,0.00023,0.000665057,0.000665057,0.000665057
29,967.688,0.00189,1,1,0.00048,0.000636762,0.000636762,0.000636762
30,999.657,0.00443,1,1,0.00048,0.000608468,0.000608468,0.000608468
31,1031.51,0.00061,1,1,0.00212,0.000580174,0.000580174,0.000580174
32,1062.15,0.00452,1,1,0.00399,0.00055188,0.00055188,0.00055188
33,1091.76,0.00191,1,1,0.0021,0.000523586,0.000523586,0.000523586
34,1124.75,0.00184,1,1,0.00308,0.000495291,0.000495291,0.000495291
35,1157.36,0.0005,1,1,0.00095,0.000466997,0.000466997,0.000466997
36,1187.66,0.00215,1,1,0.00074,0.000438703,0.000438703,0.000438703
37,1234.79,0.00102,1,1,0.00032,0.000410409,0.000410409,0.000410409
38,1264.19,0.00032,1,1,0.00023,0.000382115,0.000382115,0.000382115
39,1306.51,0.00126,1,1,0.00013,0.00035382,0.00035382,0.00035382
40,1336.54,0.00292,1,1,8e-05,0.000325526,0.000325526,0.000325526
41,1380.49,0.00287,1,1,0.00011,0.000297232,0.000297232,0.000297232
42,1409.51,0.00058,1,1,0.00015,0.000268938,0.000268938,0.000268938
43,1455.42,0.00037,1,1,0.00015,0.000240644,0.000240644,0.000240644
44,1487.46,0.00036,1,1,0.00027,0.000212349,0.000212349,0.000212349
45,1519.11,0.00082,1,1,0.00023,0.000184055,0.000184055,0.000184055
46,1549.1,0.00079,1,1,0.00017,0.000155761,0.000155761,0.000155761
47,1581.89,0.0005,1,1,0.00015,0.000127467,0.000127467,0.000127467
48,1612.89,0.00033,1,1,0.00016,9.91726e-05,9.91726e-05,9.91726e-05
49,1642.52,0.00097,1,1,0.00026,7.08784e-05,7.08784e-05,7.08784e-05
50,1674.13,0.00036,1,1,0.00021,4.25842e-05,4.25842e-05,4.25842e-05
