epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,56.3874,0.70035,0.85965,1,0.36177,0.00047157,0.00047157,0.00047157
2,114.57,0.41802,0.81454,1,0.44701,0.000929135,0.000929135,0.000929135
3,166.841,0.39062,0.88221,1,0.30659,0.00136784,0.00136784,0.00136784
4,220.649,0.34681,0.86466,1,0.28234,0.00134412,0.00134412,0.00134412
5,277.337,0.31379,0.90226,1,0.2727,0.00131582,0.00131582,0.00131582
6,347.766,0.33661,0.90226,1,0.27601,0.00128753,0.00128753,0.00128753
7,405.662,0.30398,0.92982,1,0.23487,0.00125923,0.00125923,0.00125923
8,487.82,0.26942,0.91228,1,0.22343,0.00123094,0.00123094,0.00123094
9,544.543,0.27761,0.92732,1,0.23347,0.00120265,0.00120265,0.00120265
10,603.183,0.27734,0.91729,1,0.21938,0.00117435,0.00117435,0.00117435
11,661.393,0.2622,0.9198,1,0.23485,0.00114606,0.00114606,0.00114606
12,717.612,0.2757,0.92231,1,0.20684,0.00111776,0.00111776,0.00111776
13,775.338,0.22929,0.92982,1,0.19581,0.00108947,0.00108947,0.00108947
14,832.572,0.21989,0.90977,1,0.22442,0.00106118,0.00106118,0.00106118
15,893.913,0.22866,0.94236,1,0.16357,0.00103288,0.00103288,0.00103288
16,957.28,0.21036,0.92982,1,0.19295,0.00100459,0.00100459,0.00100459
17,1017.98,0.20425,0.93233,1,0.20302,0.000976293,0.000976293,0.000976293
18,1076.41,0.20696,0.93233,1,0.20025,0.000947999,0.000947999,0.000947999
19,1139.42,0.1758,0.92982,1,0.19108,0.000919704,0.000919704,0.000919704
20,1199.38,0.18705,0.94987,1,0.1671,0.00089141,0.00089141,0.00089141
21,1271.9,0.16998,0.93484,1,0.15294,0.000863116,0.000863116,0.000863116
22,1363.82,0.17027,0.95238,1,0.15746,0.000834822,0.000834822,0.000834822
23,1421.57,0.1793,0.93734,1,0.20174,0.000806528,0.000806528,0.000806528
24,1483.46,0.14511,0.94486,1,0.16003,0.000778233,0.000778233,0.000778233
25,1541.64,0.15899,0.94987,1,0.17178,0.000749939,0.000749939,0.000749939
26,1595.13,0.13944,0.94737,1,0.15333,0.000721645,0.000721645,0.000721645
27,1648.08,0.15795,0.95739,1,0.15779,0.000693351,0.000693351,0.000693351
28,1708.18,0.12889,0.94737,1,0.15774,0.000665057,0.000665057,0.000665057
29,1783.47,0.14711,0.95489,1,0.15458,0.000636762,0.000636762,0.000636762
30,1869.01,0.15265,0.94236,1,0.17208,0.000608468,0.000608468,0.000608468
31,1957.83,0.14383,0.94236,1,0.15324,0.000580174,0.000580174,0.000580174
32,2043.42,0.13548,0.95739,1,0.15156,0.00055188,0.00055188,0.00055188
33,2127.14,0.12606,0.94987,1,0.18422,0.000523586,0.000523586,0.000523586
34,2286.44,0.11612,0.96742,1,0.13387,0.000495291,0.000495291,0.000495291
35,2379.37,0.13572,0.95489,1,0.17321,0.000466997,0.000466997,0.000466997
36,2478.02,0.10826,0.95739,1,0.15641,0.000438703,0.000438703,0.000438703
37,2574.36,0.1,0.96241,1,0.15495,0.000410409,0.000410409,0.000410409
38,2668.05,0.10986,0.9599,1,0.1648,0.000382115,0.000382115,0.000382115
39,2763.24,0.09781,0.95489,1,0.17508,0.00035382,0.00035382,0.00035382
40,2848.24,0.10924,0.95489,1,0.21373,0.000325526,0.000325526,0.000325526
41,2934.36,0.10582,0.95739,1,0.16053,0.000297232,0.000297232,0.000297232
42,3020.59,0.11043,0.95739,1,0.14965,0.000268938,0.000268938,0.000268938
43,3178.93,0.08851,0.95739,1,0.15368,0.000240644,0.000240644,0.000240644
44,3274.15,0.09839,0.95489,1,0.18661,0.000212349,0.000212349,0.000212349
45,3362.83,0.09162,0.95489,1,0.15394,0.000184055,0.000184055,0.000184055
46,3450.68,0.08261,0.95739,1,0.14886,0.000155761,0.000155761,0.000155761
47,3536.74,0.08043,0.96241,1,0.14714,0.000127467,0.000127467,0.000127467
48,3623.3,0.0999,0.95489,1,0.1518,9.91726e-05,9.91726e-05,9.91726e-05
49,3709.14,0.09526,0.95489,1,0.15788,7.08784e-05,7.08784e-05,7.08784e-05
50,3792.44,0.08325,0.95489,1,0.14983,4.25842e-05,4.25842e-05,4.25842e-05
